timestamp, system, entity , value (m)
1625581175.354, lauv-roald, DVL, 0.014
1625581175.549, lauv-roald, SmartX, 0.139
1625581175.552, lauv-roald, DVL, 0.012
1625581175.751, lauv-roald, DVL, 0.016
1625581176.049, lauv-roald, SmartX, 0.159
1625581176.151, lauv-roald, DVL, 0.019
1625581176.352, lauv-roald, DVL, 0.004
1625581176.549, lauv-roald, SmartX, 0.189
1625581176.552, lauv-roald, DVL, 0.016
1625581176.953, lauv-roald, DVL, 0.031
1625581177.049, lauv-roald, SmartX, 0.149
1625581177.154, lauv-roald, DVL, 0.022
1625581177.352, lauv-roald, DVL, 0.025
1625581177.549, lauv-roald, SmartX, 0.159
1625581177.751, lauv-roald, DVL, 0.000
1625581177.954, lauv-roald, DVL, 0.000
1625581178.049, lauv-roald, SmartX, 0.149
1625581178.152, lauv-roald, DVL, 0.003
1625581178.549, lauv-roald, SmartX, 0.139
1625581178.553, lauv-roald, DVL, 0.008
1625581178.754, lauv-roald, DVL, 0.000
1625581178.949, lauv-roald, DVL, 0.000
1625581179.049, lauv-roald, SmartX, 0.159
1625581179.353, lauv-roald, DVL, 0.000
1625581179.549, lauv-roald, SmartX, 0.179
1625581179.553, lauv-roald, DVL, 0.016
1625581179.751, lauv-roald, DVL, 0.033
1625581180.049, lauv-roald, SmartX, 0.179
1625581180.155, lauv-roald, DVL, 0.027
1625581180.346, lauv-roald, DVL, 0.003
1625581180.536, lauv-roald, DVL, 0.009
1625581180.549, lauv-roald, SmartX, 0.199
1625581180.935, lauv-roald, DVL, 0.000
1625581181.049, lauv-roald, SmartX, 0.169
1625581181.134, lauv-roald, DVL, 0.000
1625581181.336, lauv-roald, DVL, 0.000
1625581181.549, lauv-roald, SmartX, 0.229
1625581181.753, lauv-roald, DVL, 0.033
1625581181.954, lauv-roald, DVL, 0.043
1625581182.049, lauv-roald, SmartX, 0.229
1625581182.155, lauv-roald, DVL, 0.016
1625581182.549, lauv-roald, SmartX, 0.229
1625581182.549, lauv-roald, DVL, 0.032
1625581182.756, lauv-roald, DVL, 0.044
1625581182.952, lauv-roald, DVL, 0.007
1625581183.049, lauv-roald, SmartX, 0.229
1625581183.353, lauv-roald, DVL, 0.015
1625581183.549, lauv-roald, SmartX, 0.269
1625581183.553, lauv-roald, DVL, 0.042
1625581183.753, lauv-roald, DVL, 0.033
1625581184.049, lauv-roald, SmartX, 0.229
1625581184.144, lauv-roald, DVL, 0.010
1625581184.335, lauv-roald, DVL, 0.019
1625581184.536, lauv-roald, DVL, 0.000
1625581184.549, lauv-roald, SmartX, 0.249
1625581184.951, lauv-roald, DVL, 0.028
1625581185.049, lauv-roald, SmartX, 0.189
1625581185.153, lauv-roald, DVL, 0.027
1625581185.351, lauv-roald, DVL, 0.000
1625581185.549, lauv-roald, SmartX, 0.209
1625581185.747, lauv-roald, DVL, 0.000
1625581185.954, lauv-roald, DVL, 0.012
1625581186.049, lauv-roald, SmartX, 0.179
1625581186.152, lauv-roald, DVL, 0.000
1625581186.538, lauv-roald, DVL, 0.025
1625581186.548, lauv-roald, SmartX, 0.229
1625581186.737, lauv-roald, DVL, 0.003
1625581186.937, lauv-roald, DVL, 0.004
1625581187.048, lauv-roald, SmartX, 0.249
1625581187.336, lauv-roald, DVL, 0.037
1625581187.536, lauv-roald, DVL, 0.003
1625581187.549, lauv-roald, SmartX, 0.229
1625581187.744, lauv-roald, DVL, 0.036
1625581188.049, lauv-roald, SmartX, 0.199
1625581188.145, lauv-roald, DVL, 0.013
1625581188.341, lauv-roald, DVL, 0.028
1625581188.537, lauv-roald, DVL, 0.006
1625581188.548, lauv-roald, SmartX, 0.229
1625581188.943, lauv-roald, DVL, 0.000
1625581189.048, lauv-roald, SmartX, 0.249
1625581189.146, lauv-roald, DVL, 0.018
1625581189.349, lauv-roald, DVL, 0.008
1625581189.548, lauv-roald, SmartX, 0.239
1625581189.752, lauv-roald, DVL, 0.014
1625581189.951, lauv-roald, DVL, 0.027
1625581190.048, lauv-roald, SmartX, 0.279
1625581190.140, lauv-roald, DVL, 0.037
1625581190.533, lauv-roald, DVL, 0.019
1625581190.548, lauv-roald, SmartX, 0.239
1625581190.733, lauv-roald, DVL, 0.016
1625581190.934, lauv-roald, DVL, 0.014
1625581191.048, lauv-roald, SmartX, 0.239
1625581191.332, lauv-roald, DVL, 0.033
1625581191.534, lauv-roald, DVL, 0.051
1625581191.548, lauv-roald, SmartX, 0.269
1625581191.741, lauv-roald, DVL, 0.046
1625581192.048, lauv-roald, SmartX, 0.328
1625581192.152, lauv-roald, DVL, 0.070
1625581192.353, lauv-roald, DVL, 0.088
1625581192.548, lauv-roald, SmartX, 0.338
1625581192.555, lauv-roald, DVL, 0.081
1625581192.954, lauv-roald, DVL, 0.068
1625581193.048, lauv-roald, SmartX, 0.368
1625581193.154, lauv-roald, DVL, 0.093
1625581193.352, lauv-roald, DVL, 0.077
1625581193.548, lauv-roald, SmartX, 0.358
1625581193.752, lauv-roald, DVL, 0.081
1625581193.951, lauv-roald, DVL, 0.110
1625581194.048, lauv-roald, SmartX, 0.388
1625581194.150, lauv-roald, DVL, 0.114
1625581194.548, lauv-roald, SmartX, 0.428
1625581194.555, lauv-roald, DVL, 0.135
1625581194.753, lauv-roald, DVL, 0.163
1625581194.954, lauv-roald, DVL, 0.169
1625581195.048, lauv-roald, SmartX, 0.507
1625581195.355, lauv-roald, DVL, 0.232
1625581195.548, lauv-roald, SmartX, 0.627
1625581195.550, lauv-roald, DVL, 0.277
1625581195.753, lauv-roald, DVL, 0.303
1625581196.048, lauv-roald, SmartX, 0.726
1625581196.155, lauv-roald, DVL, 0.378
1625581196.353, lauv-roald, DVL, 0.427
1625581196.548, lauv-roald, SmartX, 0.856
1625581196.552, lauv-roald, DVL, 0.482
1625581196.936, lauv-roald, DVL, 0.566
1625581197.048, lauv-roald, SmartX, 0.925
1625581197.136, lauv-roald, DVL, 0.597
1625581197.336, lauv-roald, DVL, 0.629
1625581197.548, lauv-roald, SmartX, 0.995
1625581197.755, lauv-roald, DVL, 0.665
1625581197.954, lauv-roald, DVL, 0.686
1625581198.048, lauv-roald, SmartX, 1.035
1625581198.154, lauv-roald, DVL, 0.714
1625581198.548, lauv-roald, SmartX, 1.094
1625581198.556, lauv-roald, DVL, 0.778
1625581198.762, lauv-roald, DVL, 0.791
1625581198.952, lauv-roald, DVL, 0.797
1625581199.048, lauv-roald, SmartX, 1.144
1625581199.353, lauv-roald, DVL, 0.845
1625581199.548, lauv-roald, SmartX, 1.154
1625581199.554, lauv-roald, DVL, 0.842
1625581199.754, lauv-roald, DVL, 0.845
1625581200.048, lauv-roald, SmartX, 1.154
1625581200.152, lauv-roald, DVL, 0.870
1625581200.350, lauv-roald, DVL, 0.881
1625581200.548, lauv-roald, SmartX, 1.154
1625581200.552, lauv-roald, DVL, 0.878
1625581200.953, lauv-roald, DVL, 0.864
1625581201.048, lauv-roald, SmartX, 1.164
1625581201.150, lauv-roald, DVL, 0.875
1625581201.352, lauv-roald, DVL, 0.878
1625581201.548, lauv-roald, SmartX, 1.134
1625581201.753, lauv-roald, DVL, 0.857
1625581201.952, lauv-roald, DVL, 0.843
1625581202.048, lauv-roald, SmartX, 1.134
1625581202.150, lauv-roald, DVL, 0.828
1625581202.536, lauv-roald, DVL, 0.820
1625581202.548, lauv-roald, SmartX, 1.134
1625581202.737, lauv-roald, DVL, 0.826
1625581202.954, lauv-roald, DVL, 0.842
1625581203.048, lauv-roald, SmartX, 1.144
