timestamp, system, entity , value (psu)
1625581175.549, lauv-roald, SmartX, 26.554
1625581176.049, lauv-roald, SmartX, 26.553
1625581176.549, lauv-roald, SmartX, 26.558
1625581177.049, lauv-roald, SmartX, 26.557
1625581177.549, lauv-roald, SmartX, 26.554
1625581178.049, lauv-roald, SmartX, 26.553
1625581178.549, lauv-roald, SmartX, 26.555
1625581179.049, lauv-roald, SmartX, 26.553
1625581179.549, lauv-roald, SmartX, 26.556
1625581180.049, lauv-roald, SmartX, 26.553
1625581180.549, lauv-roald, SmartX, 26.556
1625581181.049, lauv-roald, SmartX, 26.553
1625581181.549, lauv-roald, SmartX, 26.556
1625581182.049, lauv-roald, SmartX, 26.551
1625581182.549, lauv-roald, SmartX, 26.549
1625581183.049, lauv-roald, SmartX, 26.554
1625581183.549, lauv-roald, SmartX, 26.556
1625581184.049, lauv-roald, SmartX, 26.551
1625581184.549, lauv-roald, SmartX, 26.556
1625581185.049, lauv-roald, SmartX, 26.554
1625581185.549, lauv-roald, SmartX, 26.559
1625581186.049, lauv-roald, SmartX, 26.553
1625581186.548, lauv-roald, SmartX, 26.553
1625581187.049, lauv-roald, SmartX, 26.553
1625581187.549, lauv-roald, SmartX, 26.550
1625581188.049, lauv-roald, SmartX, 26.548
1625581188.548, lauv-roald, SmartX, 26.551
1625581189.048, lauv-roald, SmartX, 26.557
1625581189.548, lauv-roald, SmartX, 26.563
1625581190.048, lauv-roald, SmartX, 26.554
1625581190.548, lauv-roald, SmartX, 26.536
1625581191.048, lauv-roald, SmartX, 26.550
1625581191.548, lauv-roald, SmartX, 26.550
1625581192.048, lauv-roald, SmartX, 26.556
1625581192.548, lauv-roald, SmartX, 26.575
1625581193.048, lauv-roald, SmartX, 26.551
1625581193.548, lauv-roald, SmartX, 26.563
1625581194.048, lauv-roald, SmartX, 26.551
1625581194.548, lauv-roald, SmartX, 26.329
1625581195.048, lauv-roald, SmartX, 26.135
1625581195.548, lauv-roald, SmartX, 26.136
1625581196.048, lauv-roald, SmartX, 26.430
1625581196.548, lauv-roald, SmartX, 26.473
1625581197.048, lauv-roald, SmartX, 26.492
1625581197.548, lauv-roald, SmartX, 26.516
1625581198.048, lauv-roald, SmartX, 26.527
1625581198.548, lauv-roald, SmartX, 26.539
1625581199.048, lauv-roald, SmartX, 26.550
1625581199.548, lauv-roald, SmartX, 26.553
1625581200.048, lauv-roald, SmartX, 26.574
1625581200.548, lauv-roald, SmartX, 26.559
1625581201.048, lauv-roald, SmartX, 26.534
1625581201.548, lauv-roald, SmartX, 26.528
1625581202.048, lauv-roald, SmartX, 26.533
1625581202.548, lauv-roald, SmartX, 26.556
1625581203.048, lauv-roald, SmartX, 26.547
1625581203.548, lauv-roald, SmartX, 26.551
1625581204.047, lauv-roald, SmartX, 26.559
1625581204.548, lauv-roald, SmartX, 26.562
1625581205.047, lauv-roald, SmartX, 26.575
1625581205.547, lauv-roald, SmartX, 26.575
1625581206.047, lauv-roald, SmartX, 26.586
1625581206.547, lauv-roald, SmartX, 26.590
1625581207.048, lauv-roald, SmartX, 26.578
1625581207.547, lauv-roald, SmartX, 26.557
1625581208.047, lauv-roald, SmartX, 26.564
1625581208.547, lauv-roald, SmartX, 26.574
1625581209.047, lauv-roald, SmartX, 26.570
1625581209.547, lauv-roald, SmartX, 26.576
1625581210.047, lauv-roald, SmartX, 26.589
1625581210.547, lauv-roald, SmartX, 26.621
1625581211.047, lauv-roald, SmartX, 26.595
1625581211.547, lauv-roald, SmartX, 26.598
1625581212.047, lauv-roald, SmartX, 26.582
1625581212.547, lauv-roald, SmartX, 26.585
1625581213.047, lauv-roald, SmartX, 26.588
1625581213.547, lauv-roald, SmartX, 26.589
1625581214.047, lauv-roald, SmartX, 26.587
1625581214.547, lauv-roald, SmartX, 26.597
1625581215.047, lauv-roald, SmartX, 26.604
1625581215.547, lauv-roald, SmartX, 26.600
1625581216.047, lauv-roald, SmartX, 26.597
1625581216.547, lauv-roald, SmartX, 26.616
1625581217.047, lauv-roald, SmartX, 26.605
1625581217.547, lauv-roald, SmartX, 26.607
1625581218.047, lauv-roald, SmartX, 26.596
1625581218.546, lauv-roald, SmartX, 26.611
1625581219.047, lauv-roald, SmartX, 26.623
1625581219.546, lauv-roald, SmartX, 26.643
1625581220.046, lauv-roald, SmartX, 26.649
1625581220.546, lauv-roald, SmartX, 26.651
1625581221.046, lauv-roald, SmartX, 26.628
1625581221.546, lauv-roald, SmartX, 26.620
1625581222.046, lauv-roald, SmartX, 26.572
1625581222.546, lauv-roald, SmartX, 26.543
1625581223.046, lauv-roald, SmartX, 26.551
1625581223.546, lauv-roald, SmartX, 26.544
1625581224.046, lauv-roald, SmartX, 26.548
1625581224.546, lauv-roald, SmartX, 26.539
1625581225.046, lauv-roald, SmartX, 26.515
1625581225.546, lauv-roald, SmartX, 26.463
1625581226.046, lauv-roald, SmartX, 26.403
1625581226.546, lauv-roald, SmartX, 26.355
1625581227.046, lauv-roald, SmartX, 26.354
1625581227.546, lauv-roald, SmartX, 26.348
1625581228.046, lauv-roald, SmartX, 26.318
1625581228.546, lauv-roald, SmartX, 26.332
1625581229.046, lauv-roald, SmartX, 26.363
1625581229.545, lauv-roald, SmartX, 26.368
1625581230.045, lauv-roald, SmartX, 26.365
1625581230.546, lauv-roald, SmartX, 26.381
1625581231.046, lauv-roald, SmartX, 26.384
1625581231.546, lauv-roald, SmartX, 26.390
1625581232.046, lauv-roald, SmartX, 26.402
1625581232.546, lauv-roald, SmartX, 26.418
1625581233.045, lauv-roald, SmartX, 26.421
1625581233.545, lauv-roald, SmartX, 26.436
1625581234.045, lauv-roald, SmartX, 26.449
1625581234.545, lauv-roald, SmartX, 26.470
1625581235.045, lauv-roald, SmartX, 26.468
1625581235.545, lauv-roald, SmartX, 26.454
1625581236.045, lauv-roald, SmartX, 26.453
1625581236.545, lauv-roald, SmartX, 26.452
1625581237.045, lauv-roald, SmartX, 26.432
1625581237.545, lauv-roald, SmartX, 26.427
1625581238.045, lauv-roald, SmartX, 26.431
1625581238.545, lauv-roald, SmartX, 26.429
1625581239.045, lauv-roald, SmartX, 26.420
