timestamp, system, entity , value (°c)
1625581175.328, lauv-roald, Power Supply, 26.500
1625581175.336, lauv-roald, Power Supply, 26.500
1625581175.354, lauv-roald, DVL, 16.796
1625581175.383, lauv-roald, Power Supply, 26.500
1625581175.390, lauv-roald, Power Supply, 26.500
1625581175.397, lauv-roald, Power Supply, 26.500
1625581175.404, lauv-roald, Power Supply, 26.500
1625581175.411, lauv-roald, Power Supply, 26.500
1625581175.419, lauv-roald, Power Supply, 26.000
1625581175.426, lauv-roald, Power Supply, 26.000
1625581175.434, lauv-roald, Power Supply, 26.000
1625581175.441, lauv-roald, Power Supply, 26.000
1625581175.449, lauv-roald, Power Supply, 26.000
1625581175.455, lauv-roald, Power Supply, 26.500
1625581175.462, lauv-roald, Power Supply, 26.500
1625581175.471, lauv-roald, Power Supply, 26.500
1625581175.479, lauv-roald, Power Supply, 26.500
1625581175.485, lauv-roald, Power Supply, 26.500
1625581175.492, lauv-roald, Power Supply, 26.500
1625581175.499, lauv-roald, Power Supply, 26.500
1625581175.506, lauv-roald, Power Supply, 26.500
1625581175.513, lauv-roald, Power Supply, 26.500
1625581175.520, lauv-roald, Power Supply, 26.500
1625581175.528, lauv-roald, Power Supply, 26.500
1625581175.535, lauv-roald, Power Supply, 26.500
1625581175.542, lauv-roald, Power Supply, 26.500
1625581175.549, lauv-roald, SmartX, 16.571
1625581175.551, lauv-roald, Power Supply, 26.500
1625581175.552, lauv-roald, DVL, 16.798
1625581175.730, lauv-roald, Oxygen Sensor, 16.617
1625581175.751, lauv-roald, DVL, 16.794
1625581175.952, lauv-roald, Mainboard (Core), 48.500
1625581175.952, lauv-roald, Mainboard (SuperIO), 42.625
1625581175.952, lauv-roald, Mainboard (Board), 40.062
1625581176.049, lauv-roald, SmartX, 16.572
1625581176.058, lauv-roald, Power Supply, 26.500
1625581176.151, lauv-roald, DVL, 16.792
1625581176.352, lauv-roald, DVL, 16.798
1625581176.549, lauv-roald, SmartX, 16.566
1625581176.552, lauv-roald, DVL, 16.795
1625581176.564, lauv-roald, Power Supply, 26.500
1625581176.587, lauv-roald, Power Supply, 26.500
1625581176.595, lauv-roald, Power Supply, 26.500
1625581176.730, lauv-roald, Oxygen Sensor, 16.616
1625581176.952, lauv-roald, Mainboard (Core), 49.062
1625581176.952, lauv-roald, Mainboard (SuperIO), 42.500
1625581176.952, lauv-roald, Mainboard (Board), 40.187
1625581176.953, lauv-roald, DVL, 16.795
1625581177.049, lauv-roald, SmartX, 16.566
1625581177.103, lauv-roald, Power Supply, 26.500
1625581177.112, lauv-roald, Motor Controller (MCU), 29.000
1625581177.112, lauv-roald, Motor Controller (Bridge), 34.000
1625581177.112, lauv-roald, Motor, 37.000
1625581177.154, lauv-roald, DVL, 16.795
1625581177.352, lauv-roald, DVL, 16.794
1625581177.386, lauv-roald, Power Supply, 26.500
1625581177.549, lauv-roald, SmartX, 16.570
1625581177.586, lauv-roald, Power Supply, 26.500
1625581177.624, lauv-roald, Power Supply, 26.500
1625581177.631, lauv-roald, Power Supply, 26.500
1625581177.730, lauv-roald, Oxygen Sensor, 16.613
1625581177.751, lauv-roald, DVL, 16.796
1625581177.834, lauv-roald, Power Supply, 26.500
1625581177.952, lauv-roald, Mainboard (Core), 49.062
